method,top_mean,mid_mean,bot_mean,model
real,0.26828572,0.44810924,0.28360498,Baseline
Deepfakes,0.27611518,0.64688635,0.07699847,Baseline
Face2Face,0.23790021,0.6345501,0.1275497,Baseline
FaceShifter,0.26073045,0.6597854,0.07948419,Baseline
FaceSwap,0.33400896,0.5804265,0.08556456,Baseline
NeuralTextures,0.22309594,0.6132796,0.16362444,Baseline
real,0.2135694,0.50790346,0.2785271,BiFPN-P2
Deepfakes,0.20147848,0.66834754,0.13017394,BiFPN-P2
Face2Face,0.16984418,0.6421855,0.18797037,BiFPN-P2
FaceShifter,0.19750328,0.66579556,0.13670114,BiFPN-P2
FaceSwap,0.2622053,0.6362913,0.101503395,BiFPN-P2
NeuralTextures,0.13883917,0.63388455,0.22727633,BiFPN-P2
real,0.28865674,0.41252413,0.29881912,FNO-backbone
Deepfakes,0.30191377,0.6401632,0.05792304,FNO-backbone
Face2Face,0.24548897,0.6124858,0.10452521,FNO-backbone
FaceShifter,0.3085562,0.633795,0.057648767,FNO-backbone
FaceSwap,0.42315713,0.5196125,0.05723043,FNO-backbone
NeuralTextures,0.23148103,0.58131194,0.17470701,FNO-backbone
